booking_id,hotel_name,hotel_type,arrival_date,nights_stayed,room_type,adults,children,booking_channel,lead_time_days,adr_per_night_inr,total_revenue_inr,cancellation_status,country_of_guest,special_requests,meal_plan
BKG988564,Zostel Delhi,resort,10-01-2022,5,Studio Room,3,0.0,Travel Agent,189,516,2580,No,UAE,2.0,BB
BKG187005,The Fern Residency,5 Star,11/01/2022,6,Double Room,2,0.0,Yatra,174,1690,10140,No,China,4.0,CP
BKG934970,Hilton Garden Inn,3 Star,2022-01-11,7,Super Deluxe,1,0.0,direct website,50,5646,39522,No,,1.0,CP
BKG688083,Treebo Trend City Inn,BUDGET,11-01-2022,5,Studio Room,2,0.0,makemytrip,363,1146,5730,Yes,France,,Full Board
BKG465185,Hilton Garden Inn,5-Star,11/01/2022,9,Studio Room,2,0.0,OTA - MakeMyTrip,54,5058,45522,No,,4.0,MAP
BKG182159,Radisson Blu Pune,3-Star,2022-01-12,1,Suite,2,2.0,OTA - Booking.com,243,7514,7514,No,UAE,4.0,MAP
BKG748084,Ginger Hotel,3star,12-01-2022,7,Executive Room,1,0.0,corporate,319,1317,9219,No,Nepal,0.0,Breakfast Only
BKG594472,Radisson Blu Pune,5-Star,12/01/2022,10,Family Room,3,,Agoda,130,3910,39100,No,India,,
BKG439310,Holiday Inn Jaipur,budget,2022-01-13,7,Standard,1,0.0,Corporate Booking,306,6306,44142,Yes,Singapore,2.0,Breakfast Only
BKG772599,Taj Mahal Palace Mumbai,4-Star,13-01-2022,4,Deluxe,2,0.0,Direct Website,134,13938,55752,Yes,India,1.0,Half Board
BKG589775,The Leela Goa,BUDGET,13/01/2022,9,Family Room,2,2.0,corporate,20,20150,181350,No,Sri Lanka,2.0,Half Board
BKG782600,The Leela Goa,Budget,2022-01-13,12,Family Room,1,2.0,Walk-in,328,21406,256872,No,UAE,0.0,All Inclusive
BKG201542,Treebo Trend City Inn,5-Star,14-01-2022,11,Twin Room,1,,Direct Website,166,1435,15785,No,India,1.0,MAP
BKG624841,Treebo Trend City Inn,5-Star,14/01/2022,5,Family Room,3,1.0,Goibibo,273,1184,5920,No,India,0.0,Half Board
BKG517734,Lemon Tree Lucknow,Resort,2022-01-14,4,Family Room,3,2.0,corporate,88,1710,6840,No,China,2.0,CP
BKG602525,The Leela Goa,Five Star,15-01-2022,13,Deluxe,1,0.0,Corporate Booking,315,26325,342225,Yes,India,1.0,All Inclusive
BKG732669,Courtyard by Marriott,3-Star,15/01/2022,7,Suite,3,2.0,Walk-in,13,11148,78036,No,India,2.0,Full Board
BKG375756,Park Inn by Radisson,5-Star,2022-01-15,4,Double Room,2,1.0,Agoda,241,3954,15816,No,Singapore,3.0,Breakfast Only
BKG963105,Hilton Garden Inn,4-Star,15-01-2022,3,Suite,1,0.0,corporate,264,6780,20340,No,India,0.0,BB
BKG688747,The Leela Goa,3-Star,16/01/2022,9,Deluxe,3,0.0,Corporate Booking,345,17436,156924,Yes,France,3.0,
BKG912236,Park Inn by Radisson,Resort,2022-01-16,11,Twin Room,2,1.0,Travel Agent,52,5977,65747,Yes,USA,3.0,Full Board
BKG141154,Lemon Tree Lucknow,budget,16-01-2022,8,Deluxe,1,2.0,Travel Agent,339,948,7584,No,UAE,2.0,All Inclusive
BKG795466,Novotel Kolkata,Hostel,17/01/2022,1,Deluxe,3,2.0,direct website,91,3529,3529,Yes,India,,AP
BKG853401,The Leela Goa,resort,2022-01-17,7,Deluxe,2,2.0,OTA - Booking.com,263,19228,134596,Yes,Nepal,4.0,No Meal
BKG996615,Radisson Blu Pune,3 Star,17-01-2022,9,Super Deluxe,1,2.0,direct website,34,4266,38394,No,,4.0,All Inclusive
BKG286218,Taj Mahal Palace Mumbai,4 Star,18/01/2022,8,Double Room,3,1.0,Goibibo,205,9843,78744,No,India,1.0,All Inclusive
BKG240689,Hilton Garden Inn,5 Star,2022-01-18,8,Twin Room,2,1.0,Agoda,80,7734,61872,Yes,India,2.0,Breakfast Only
BKG246470,Ginger Hotel,5 Star,18-01-2022,13,Presidential Suite,2,2.0,Travel Agent,49,2482,32266,No,Russia,,Half Board
BKG882059,Treebo Trend City Inn,3star,18/01/2022,6,Super Deluxe,2,1.0,makemytrip,359,629,3774,Yes,India,2.0,Full Board
BKG889125,The Fern Residency,Hostel,2022-01-19,11,Deluxe,2,0.0,makemytrip,1,1811,19921,Yes,Nepal,2.0,No Meal
BKG655259,Lemon Tree Lucknow,Resort,19-01-2022,4,Family Room,1,2.0,Walk-in,53,648,2592,No,India,3.0,Half Board
BKG488777,Lemon Tree Lucknow,Boutique,19/01/2022,8,Deluxe,2,0.0,Agoda,105,1995,15960,No,India,,No Meal
BKG298579,Zostel Delhi,Resort,2022-01-20,3,Family Room,1,0.0,Agoda,259,1317,3951,No,Germany,4.0,No Meal
BKG285626,Ginger Hotel,Five Star,20-01-2022,13,Executive Room,1,0.0,OTA - MakeMyTrip,309,2244,29172,No,India,1.0,AP
BKG966510,Lemon Tree Lucknow,3 Star,20/01/2022,9,Super Deluxe,3,2.0,corporate,190,2146,19314,Yes,India,1.0,Full Board
BKG960659,Lemon Tree Lucknow,3-Star,2022-01-20,13,Presidential Suite,1,2.0,Corporate Booking,217,1447,18811,Yes,UAE,2.0,Full Board
BKG441134,OYO Rooms 12345,Five Star,21-01-2022,2,Standard,2,,Booking.com,43,999,1998,No,India,0.0,Full Board
BKG448178,ITC Maurya Delhi,Hostel,21/01/2022,2,Deluxe,1,1.0,Yatra,161,12931,25862,Yes,Australia,3.0,AP
BKG185567,Ginger Hotel,boutique,2022-01-21,12,Family Room,1,2.0,Direct Website,201,1878,22536,Yes,India,0.0,MAP
BKG402821,Novotel Kolkata,3star,22-01-2022,13,Standard,3,,Walk-in,269,6679,86827,No,Japan,3.0,Full Board
BKG954834,Radisson Blu Pune,resort,22/01/2022,12,Suite,1,2.0,Corporate Booking,350,7087,85044,No,Canada,2.0,BB
BKG805198,Novotel Kolkata,Hostel,2022-01-22,7,Deluxe,3,1.0,Yatra,303,3761,26327,Yes,India,1.0,Breakfast Only
BKG198104,Taj Mahal Palace Mumbai,Five Star,22-01-2022,12,Executive Room,1,2.0,OTA - Booking.com,270,16419,197028,No,UK,,BB
BKG122291,ITC Maurya Delhi,BUDGET,23/01/2022,10,Presidential Suite,3,1.0,OTA - Booking.com,214,10881,108810,Yes,China,3.0,No Meal
BKG390641,Hilton Garden Inn,budget,2022-01-23,4,Super Deluxe,1,0.0,Direct Website,251,4955,19820,No,Bangladesh,1.0,All Inclusive
BKG477279,Airbnb Stay Bandra,Budget,23-01-2022,10,Super Deluxe,2,0.0,corporate,189,2818,28180,No,Sri Lanka,0.0,MAP
BKG918401,Taj Mahal Palace Mumbai,5-Star,24/01/2022,8,Super Deluxe,1,0.0,makemytrip,295,27249,217992,No,India,,
BKG863622,Marriott Hyderabad,Budget,2022-01-24,9,Super Deluxe,3,0.0,Booking.com,212,10575,95175,No,India,4.0,Breakfast Only
BKG273156,ITC Maurya Delhi,Five Star,24-01-2022,7,Super Deluxe,3,0.0,Direct Website,207,20714,144998,Yes,India,0.0,Half Board
BKG590210,Ginger Hotel,3-Star,24/01/2022,5,Twin Room,2,0.0,Booking.com,236,721,3605,Yes,India,4.0,CP
BKG509893,Oberoi Bengaluru,Hostel,2022-01-25,8,Deluxe,2,,Travel Agent,337,16656,133248,Yes,India,1.0,
BKG654533,Park Inn by Radisson,3star,25-01-2022,4,Super Deluxe,3,0.0,Walk-in,52,5297,21188,No,Germany,2.0,Full Board
BKG677600,Hilton Garden Inn,5-Star,25/01/2022,2,Double Room,2,2.0,Travel Agent,279,7061,14122,No,India,2.0,MAP
BKG790674,Hilton Garden Inn,3-Star,2022-01-26,11,Double Room,1,1.0,Goibibo,216,6166,67826,No,Bangladesh,1.0,No Meal
BKG108267,Zostel Delhi,4-Star,26-01-2022,12,Standard,1,1.0,direct website,251,1424,17088,No,Japan,,Half Board
BKG664100,Novotel Kolkata,4-Star,26/01/2022,6,Executive Room,2,2.0,Goibibo,187,3183,19098,Yes,India,3.0,Full Board
BKG496991,Treebo Trend City Inn,resort,2022-01-26,9,Studio Room,1,2.0,Direct Website,40,1079,9711,No,India,0.0,All Inclusive
BKG963356,Lemon Tree Lucknow,Boutique,27-01-2022,1,Double Room,1,2.0,direct website,156,2400,2400,No,Germany,0.0,AP
BKG831162,Ginger Hotel,3star,27/01/2022,11,Twin Room,2,,MakeMyTrip,14,900,9900,No,Australia,0.0,Breakfast Only
BKG294150,Courtyard by Marriott,5-Star,2022-01-27,10,Deluxe,3,2.0,Goibibo,300,20696,206960,Yes,China,4.0,CP
BKG650163,OYO Rooms 12345,Five Star,28-01-2022,12,Twin Room,1,0.0,Booking.com,64,1400,16800,No,Bangladesh,0.0,Half Board
BKG720091,ITC Maurya Delhi,5 Star,28/01/2022,7,Presidential Suite,2,1.0,OTA - Booking.com,344,15441,108087,Yes,UK,3.0,Breakfast Only
BKG356679,Hyatt Regency Chennai,4-Star,2022-01-28,10,Studio Room,3,2.0,Travel Agent,326,29076,290760,No,Sri Lanka,2.0,AP
BKG612082,Taj Mahal Palace Mumbai,BUDGET,28-01-2022,9,Standard,1,2.0,Agoda,8,22986,206874,No,,2.0,Half Board
BKG934021,Airbnb Stay Bandra,Hostel,29/01/2022,10,Presidential Suite,1,1.0,Booking.com,343,1951,19510,Yes,UAE,4.0,MAP
BKG889966,FabHotel Prime Central,3star,2022-01-29,9,Suite,2,1.0,OTA - Booking.com,128,549,4941,No,India,3.0,No Meal
BKG270952,Novotel Kolkata,4-Star,29-01-2022,10,Studio Room,1,0.0,Goibibo,135,3782,37820,No,India,1.0,All Inclusive
BKG161807,Hyatt Regency Chennai,Resort,30/01/2022,11,Standard,3,1.0,Corporate Booking,62,15960,175560,No,Japan,,All Inclusive
BKG938102,Lemon Tree Lucknow,4-Star,2022-01-30,13,Twin Room,2,2.0,Travel Agent,138,1435,18655,Yes,,3.0,BB
BKG961897,Park Inn by Radisson,resort,30-01-2022,3,Suite,2,1.0,corporate,80,6854,20562,Yes,France,1.0,
BKG941152,Hilton Garden Inn,3star,30/01/2022,11,Standard,2,2.0,Direct Website,162,3676,40436,No,Bangladesh,4.0,Half Board
BKG273962,Marriott Hyderabad,BUDGET,2022-01-31,13,Suite,2,1.0,travel agent,288,14629,190177,No,Singapore,,All Inclusive
BKG532816,Park Inn by Radisson,3star,31-01-2022,5,Deluxe,3,1.0,direct website,260,7090,35450,Yes,India,3.0,
BKG272401,The Fern Residency,Hostel,31/01/2022,8,Executive Room,3,0.0,Yatra,230,4207,33656,Yes,India,2.0,BB
BKG459763,Taj Mahal Palace Mumbai,budget,2022-02-01,8,Family Room,3,2.0,Yatra,40,15876,127008,No,Canada,4.0,Breakfast Only
BKG628027,Treebo Trend City Inn,boutique,01-02-2022,4,Suite,3,0.0,Travel Agent,27,1843,7372,No,Bangladesh,3.0,CP
BKG395251,ITC Maurya Delhi,5 Star,01/02/2022,12,Double Room,3,0.0,travel agent,134,22588,271056,Yes,UK,4.0,Half Board
BKG706821,Novotel Kolkata,resort,2022-02-01,11,Executive Room,3,2.0,Walk-in,200,3190,35090,No,,1.0,AP
BKG117487,Hilton Garden Inn,Budget,02-02-2022,11,Twin Room,2,1.0,Travel Agent,327,3842,42262,No,India,3.0,Full Board
BKG914785,The Fern Residency,4 Star,02/02/2022,1,Double Room,2,0.0,travel agent,267,4779,4779,Yes,India,0.0,Full Board
BKG633272,Marriott Hyderabad,BUDGET,2022-02-02,1,Double Room,2,1.0,OTA - Booking.com,32,25818,25818,No,Japan,1.0,Full Board
BKG909562,FabHotel Prime Central,Boutique,03-02-2022,4,Executive Room,3,1.0,Corporate Booking,47,2113,8452,No,India,0.0,MAP
BKG698082,Park Inn by Radisson,Hostel,03/02/2022,6,Standard,2,0.0,direct website,61,3061,18366,No,,4.0,No Meal
BKG792639,Oberoi Bengaluru,4 Star,2022-02-03,8,Super Deluxe,3,0.0,OTA - MakeMyTrip,215,26044,208352,Yes,Australia,0.0,Half Board
BKG664368,Novotel Kolkata,BUDGET,04-02-2022,6,Super Deluxe,2,0.0,Goibibo,292,4169,25014,Yes,Nepal,,MAP
BKG374983,Treebo Trend City Inn,budget,04/02/2022,12,Presidential Suite,3,1.0,Travel Agent,98,2231,26772,No,USA,1.0,CP
BKG849267,ITC Maurya Delhi,Resort,2022-02-04,9,Executive Room,3,2.0,Booking.com,171,15044,135396,No,India,1.0,BB
BKG809917,OYO Rooms 12345,4 Star,04-02-2022,9,Presidential Suite,3,,Corporate Booking,359,2467,22203,No,India,4.0,CP
BKG461018,Treebo Trend City Inn,BUDGET,05/02/2022,2,Family Room,1,0.0,OTA - Booking.com,213,2365,4730,Yes,Japan,2.0,No Meal
BKG927931,Hilton Garden Inn,boutique,2022-02-05,10,Super Deluxe,1,,OTA - MakeMyTrip,34,6732,67320,No,Nepal,4.0,MAP
BKG492238,FabHotel Prime Central,4 Star,05-02-2022,1,Standard,3,0.0,Corporate Booking,226,2487,2487,Yes,China,1.0,Full Board
BKG498572,Marriott Hyderabad,budget,06/02/2022,2,Presidential Suite,2,1.0,OTA - MakeMyTrip,100,17304,34608,No,India,4.0,No Meal
BKG182036,Treebo Trend City Inn,3-Star,2022-02-06,5,Standard,3,2.0,Walk-in,130,1866,9330,Yes,India,3.0,Full Board
BKG962358,ITC Maurya Delhi,5-Star,06-02-2022,4,Suite,3,2.0,Agoda,256,19058,76232,No,India,3.0,Breakfast Only
BKG391922,Marriott Hyderabad,boutique,06/02/2022,4,Family Room,1,0.0,Walk-in,4,19260,77040,No,Germany,2.0,
BKG729816,Radisson Blu Pune,Budget,2022-02-07,9,Executive Room,3,0.0,makemytrip,217,7467,67203,Yes,India,,No Meal
BKG425336,Treebo Trend City Inn,budget,07-02-2022,11,Presidential Suite,1,2.0,Corporate Booking,254,893,9823,Yes,India,4.0,
BKG283255,The Fern Residency,boutique,07/02/2022,8,Double Room,2,,Yatra,358,4805,38440,Yes,France,3.0,All Inclusive
BKG709664,Novotel Kolkata,budget,2022-02-08,6,Standard,2,2.0,corporate,282,7288,43728,Yes,India,1.0,Breakfast Only
BKG228219,Holiday Inn Jaipur,5-Star,08-02-2022,1,Twin Room,2,,Travel Agent,206,4080,4080,No,India,0.0,AP
BKG654268,Airbnb Stay Bandra,5 Star,08/02/2022,2,Family Room,3,0.0,Goibibo,14,2052,4104,No,India,1.0,CP
BKG266891,Marriott Hyderabad,boutique,2022-02-08,6,Twin Room,1,2.0,Booking.com,345,18147,108882,No,Singapore,2.0,Full Board
BKG114065,FabHotel Prime Central,3 Star,09-02-2022,11,Super Deluxe,3,,Travel Agent,41,1310,14410,No,Bangladesh,0.0,CP
BKG896991,Marriott Hyderabad,Five Star,09/02/2022,2,Family Room,2,2.0,Goibibo,178,26602,53204,No,Nepal,1.0,MAP
BKG748802,OYO Rooms 12345,resort,2022-02-09,13,Family Room,3,0.0,travel agent,62,1672,21736,Yes,USA,,MAP
BKG173969,Lemon Tree Lucknow,3-Star,10-02-2022,10,Twin Room,1,2.0,OTA - Booking.com,351,1943,19430,No,Bangladesh,4.0,MAP
BKG239728,Ginger Hotel,5 Star,10/02/2022,5,Family Room,1,2.0,direct website,230,779,3895,No,Singapore,3.0,All Inclusive
BKG143210,FabHotel Prime Central,5 Star,2022-02-10,5,Twin Room,2,0.0,Booking.com,240,1705,8525,No,India,4.0,CP
BKG817348,Holiday Inn Jaipur,boutique,10-02-2022,6,Super Deluxe,2,2.0,direct website,51,6989,41934,No,Russia,4.0,CP
BKG655765,Zostel Delhi,3-Star,11/02/2022,6,Twin Room,2,,Walk-in,95,516,3096,No,India,2.0,Breakfast Only
BKG605276,Hilton Garden Inn,4-Star,2022-02-11,6,Studio Room,3,2.0,direct website,221,4771,28626,Yes,,0.0,
BKG730399,Airbnb Stay Bandra,BUDGET,11-02-2022,2,Family Room,1,2.0,MakeMyTrip,230,3239,6478,Yes,India,1.0,Breakfast Only
BKG598822,Lemon Tree Lucknow,5-Star,12/02/2022,10,Double Room,3,0.0,Walk-in,236,1568,15680,No,Canada,1.0,Half Board
BKG129529,Radisson Blu Pune,Hostel,2022-02-12,13,Presidential Suite,2,0.0,Corporate Booking,142,3806,49478,No,Australia,,
BKG380406,Novotel Kolkata,3 Star,12-02-2022,3,Double Room,1,,Walk-in,170,4064,12192,No,France,0.0,
BKG427231,Oberoi Bengaluru,Five Star,12/02/2022,6,Standard,2,,Direct Website,28,8442,50652,No,Australia,4.0,Full Board
BKG793009,Airbnb Stay Bandra,5-Star,2022-02-13,13,Family Room,1,0.0,direct website,35,2695,35035,No,France,2.0,MAP
BKG547004,The Fern Residency,Budget,13-02-2022,8,Presidential Suite,1,2.0,Booking.com,12,2112,16896,No,France,4.0,CP
BKG151686,Hyatt Regency Chennai,5 Star,13/02/2022,12,Double Room,2,1.0,Walk-in,159,19803,237636,Yes,India,1.0,BB
BKG273937,The Leela Goa,Resort,2022-02-14,13,Double Room,1,0.0,Booking.com,326,15953,207389,No,India,2.0,Full Board
BKG529793,Taj Mahal Palace Mumbai,Boutique,14-02-2022,11,Family Room,1,2.0,Walk-in,186,12377,136147,Yes,Russia,2.0,All Inclusive
BKG960731,Hyatt Regency Chennai,4 Star,14/02/2022,12,Double Room,2,,corporate,242,18599,223188,No,India,2.0,MAP
BKG842885,OYO Rooms 12345,budget,2022-02-14,1,Twin Room,1,2.0,OTA - MakeMyTrip,85,914,914,Yes,India,1.0,Half Board
BKG320725,Treebo Trend City Inn,boutique,15-02-2022,1,Twin Room,2,2.0,Booking.com,283,2147,2147,No,Australia,1.0,Half Board
BKG295399,Marriott Hyderabad,Boutique,15/02/2022,11,Presidential Suite,3,2.0,travel agent,65,19894,218834,No,UAE,3.0,All Inclusive
BKG815412,The Fern Residency,4 Star,2022-02-15,13,Presidential Suite,3,1.0,direct website,169,2943,38259,No,India,1.0,AP
BKG999476,FabHotel Prime Central,3-Star,16-02-2022,2,Super Deluxe,2,1.0,Goibibo,44,930,1860,No,,1.0,All Inclusive
BKG136409,FabHotel Prime Central,Hostel,16/02/2022,11,Double Room,1,0.0,MakeMyTrip,61,2018,22198,No,Canada,4.0,No Meal
BKG259152,Courtyard by Marriott,budget,2022-02-16,12,Suite,3,2.0,Agoda,133,8562,102744,No,India,1.0,All Inclusive
BKG783555,Radisson Blu Pune,resort,16-02-2022,12,Presidential Suite,2,2.0,Travel Agent,283,4865,58380,No,India,0.0,AP
BKG821552,Novotel Kolkata,budget,17/02/2022,6,Suite,2,1.0,OTA - MakeMyTrip,27,4405,26430,No,Singapore,4.0,CP
BKG770969,FabHotel Prime Central,resort,2022-02-17,9,Family Room,1,2.0,Yatra,107,1947,17523,Yes,India,3.0,AP
BKG643823,The Fern Residency,3star,17-02-2022,4,Presidential Suite,1,2.0,direct website,43,3616,14464,No,Sri Lanka,0.0,All Inclusive
BKG748116,Hyatt Regency Chennai,BUDGET,18/02/2022,3,Executive Room,1,2.0,Corporate Booking,339,21998,65994,Yes,Singapore,3.0,Half Board
BKG995950,Novotel Kolkata,Five Star,2022-02-18,12,Twin Room,2,,Direct Website,285,5398,64776,No,Singapore,2.0,Breakfast Only
BKG817904,The Fern Residency,Boutique,18-02-2022,8,Standard,3,2.0,Goibibo,330,3648,29184,Yes,Bangladesh,2.0,AP
BKG148637,Lemon Tree Lucknow,Boutique,18/02/2022,11,Super Deluxe,2,2.0,Direct Website,127,770,8470,Yes,India,2.0,All Inclusive
BKG272736,Treebo Trend City Inn,5 Star,2022-02-19,10,Studio Room,1,0.0,Corporate Booking,347,2456,24560,No,Bangladesh,1.0,No Meal
BKG317484,Treebo Trend City Inn,BUDGET,19-02-2022,9,Presidential Suite,1,2.0,OTA - Booking.com,230,2272,20448,No,,1.0,Breakfast Only
BKG698693,Marriott Hyderabad,5-Star,19/02/2022,12,Standard,2,1.0,corporate,189,25675,308100,Yes,Canada,4.0,Breakfast Only
BKG668160,The Fern Residency,Hostel,2022-02-20,11,Super Deluxe,1,1.0,MakeMyTrip,224,1889,20779,Yes,China,0.0,Full Board
BKG374329,Taj Mahal Palace Mumbai,3 Star,20-02-2022,5,Twin Room,1,2.0,makemytrip,282,16720,83600,Yes,,0.0,BB
BKG623467,Holiday Inn Jaipur,Boutique,20/02/2022,9,Double Room,2,0.0,Goibibo,120,7593,68337,No,China,,MAP
BKG993138,Treebo Trend City Inn,4-Star,2022-02-21,2,Double Room,3,2.0,Travel Agent,115,705,1410,No,India,2.0,Half Board
BKG887828,Marriott Hyderabad,Resort,21-02-2022,3,Family Room,1,2.0,Travel Agent,232,10939,32817,No,UK,1.0,
BKG889892,Ginger Hotel,3 Star,21/02/2022,7,Presidential Suite,3,,Walk-in,258,1412,9884,Yes,Australia,3.0,Full Board
BKG464801,Oberoi Bengaluru,budget,2022-02-21,7,Twin Room,3,1.0,Yatra,358,24158,169106,No,India,,MAP
BKG282386,Marriott Hyderabad,Five Star,22-02-2022,6,Deluxe,3,2.0,Direct Website,197,13435,80610,Yes,UAE,0.0,AP
BKG107676,ITC Maurya Delhi,Five Star,22/02/2022,6,Executive Room,3,,corporate,136,13392,80352,No,Germany,3.0,AP
BKG137312,Zostel Delhi,4 Star,2022-02-22,2,Deluxe,1,0.0,Travel Agent,317,1376,2752,No,Japan,0.0,BB
BKG234220,ITC Maurya Delhi,5-Star,23-02-2022,10,Suite,1,2.0,corporate,164,25617,256170,Yes,UAE,0.0,Breakfast Only
BKG767632,FabHotel Prime Central,Five Star,23/02/2022,6,Super Deluxe,2,1.0,Walk-in,224,835,5010,No,India,1.0,Breakfast Only
BKG297435,Radisson Blu Pune,budget,2022-02-23,4,Twin Room,1,1.0,Direct Website,306,7033,28132,Yes,USA,0.0,AP
BKG626943,Lemon Tree Lucknow,budget,23-02-2022,12,Twin Room,2,,OTA - MakeMyTrip,233,1091,13092,Yes,USA,2.0,All Inclusive
BKG942295,FabHotel Prime Central,3-Star,24/02/2022,3,Suite,3,2.0,Yatra,171,1561,4683,No,India,2.0,CP
BKG685333,The Fern Residency,resort,2022-02-24,13,Standard,2,0.0,corporate,151,3222,41886,No,India,4.0,BB
BKG407661,Zostel Delhi,boutique,24-02-2022,11,Suite,2,1.0,Booking.com,314,2443,26873,No,Sri Lanka,1.0,AP
BKG174227,OYO Rooms 12345,4 Star,25/02/2022,13,Super Deluxe,1,2.0,Goibibo,159,1751,22763,No,Canada,1.0,All Inclusive
BKG536854,Lemon Tree Lucknow,3 Star,2022-02-25,2,Studio Room,2,1.0,Corporate Booking,95,2006,4012,No,,2.0,MAP
BKG961221,The Leela Goa,3 Star,25-02-2022,1,Executive Room,3,1.0,Walk-in,232,29381,29381,Yes,Sri Lanka,1.0,Full Board
